price_id,security_id,ticker,security_name,price_date,open_price,high_price,low_price,close_price,volume,source,is_stale,days_stale,currency,region,validated,rag_status
PRC-RELIANCE-20240103,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-01-03,2871.48,2894.74,2854.77,2871.23,2873979.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240105,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-01-05,2837.43,2894.26,2804.68,2865.28,1720354.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240125,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-01-25,2888.93,2921.58,2841.11,2893.12,900148.0,NSE Feed,False,0,INR,NSE,False,Green
PRC-RELIANCE-20240126,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-01-26,2930.02,2993.26,2910.09,2959.21,2339710.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240130,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-01-30,2960.19,2954.31,2870.81,2948.82,2673678.0,NSE Feed,True,7,INR,NSE,True,Red
PRC-RELIANCE-20240205,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-02-05,2950.42,2965.88,2860.66,2938.46,2574954.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240206,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-02-06,2987.2,3075.55,2972.49,3008.07,3588365.0,Refinitiv,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240212,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-02-12,3052.68,3062.63,2974.0,3042.7,786777.0,Refinitiv,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240226,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-02-26,2994.79,3070.91,2976.45,3021.27,4904169.0,Refinitiv,True,3,INR,NSE,True,Amber
PRC-RELIANCE-20240304,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-03-04,3022.48,3064.63,3007.77,3045.86,862873.0,Refinitiv,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240312,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-03-12,3019.57,3075.85,2984.65,3024.68,2685113.0,Refinitiv,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240315,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-03-15,3008.26,3007.63,2944.49,3003.55,634856.0,Refinitiv,True,5,INR,NSE,False,Amber
PRC-RELIANCE-20240318,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-03-18,2986.22,3051.43,2993.56,3014.46,3626251.0,Bloomberg,True,9,INR,NSE,False,Red
PRC-RELIANCE-20240327,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-03-27,2951.76,2960.94,2900.07,2927.94,4623978.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240408,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-04-08,2854.31,2897.44,2828.9,2852.19,1968060.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240412,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-04-12,2840.52,2864.11,2775.47,2828.13,2026561.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240422,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-04-22,2806.06,2849.12,2704.3,2785.16,3616845.0,Refinitiv,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240502,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-02,2774.07,2848.15,2751.82,2798.29,508326.0,NSE Feed,True,5,INR,NSE,True,Amber
PRC-RELIANCE-20240503,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-03,2744.57,2831.7,2682.05,2760.18,4326984.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240506,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-06,2705.89,2764.32,2686.98,2701.7,2087295.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240513,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-13,2756.33,2783.89,2724.38,2761.1,1569123.0,Refinitiv,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240516,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-16,2776.05,2807.17,2734.07,2751.75,2773738.0,Refinitiv,True,7,INR,NSE,True,Red
PRC-RELIANCE-20240522,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-22,2768.55,2793.67,2742.09,2754.54,2622759.0,Refinitiv,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240523,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-23,2720.89,2740.74,2625.64,2695.67,2137244.0,Bloomberg,True,8,INR,NSE,True,Red
PRC-RELIANCE-20240528,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-28,2692.22,2681.07,2651.57,2673.66,1697875.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240531,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-31,2698.12,2693.22,2658.96,2678.11,4787977.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240610,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-06-10,2655.93,2633.08,2626.91,2631.87,1084119.0,Refinitiv,False,0,INR,NSE,False,Green
PRC-RELIANCE-20240613,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-06-13,2652.23,2662.94,2639.96,2646.7,4731176.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240614,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-06-14,2615.47,2643.44,2584.52,2622.86,4271464.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240619,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-06-19,2629.12,2683.01,2562.08,2611.38,3572297.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240621,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-06-21,2575.43,2660.38,2555.14,2587.81,3602898.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240625,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-06-25,2677.44,2699.55,2632.15,2659.71,2931694.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240702,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-02,2671.91,2695.93,2637.85,2659.17,3054267.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240708,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-08,2637.36,2694.73,2613.62,2616.98,4495164.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240711,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-11,2625.35,2649.78,2580.72,2649.27,2041404.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240712,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-12,2594.16,2648.96,2574.75,,,Refinitiv,False,0,INR,NSE,False,Green
PRC-RELIANCE-20240715,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-15,2611.6,2609.83,2572.07,2608.9,2404692.0,Refinitiv,True,10,INR,NSE,False,Red
PRC-RELIANCE-20240717,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-17,2541.03,2593.46,2525.36,,,NSE Feed,False,0,INR,NSE,False,Green
PRC-RELIANCE-20240722,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-22,2487.71,2500.56,2433.7,2481.77,3429408.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240723,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-23,2513.5,2505.96,2465.5,2489.09,776263.0,Refinitiv,False,0,INR,NSE,False,Green
PRC-RELIANCE-20240724,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-24,2510.59,2558.4,2445.4,2516.67,179273.0,Refinitiv,True,8,INR,NSE,True,Red
PRC-RELIANCE-20240725,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-25,2537.49,2565.97,2512.38,2523.14,899953.0,Refinitiv,False,0,INR,NSE,False,Green
PRC-RELIANCE-20240731,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-31,2528.44,2561.59,2463.68,2518.76,723676.0,Refinitiv,False,0,INR,NSE,False,Green
PRC-RELIANCE-20240812,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-08-12,2483.96,2577.25,2455.82,2507.38,1837768.0,Refinitiv,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240814,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-08-14,2472.8,2473.79,2419.7,2451.77,4853789.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240816,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-08-16,2436.93,2482.82,2402.7,2425.3,757899.0,Refinitiv,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240823,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-08-23,2395.64,2414.04,2380.01,2408.54,3427786.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240827,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-08-27,2446.27,2472.85,2442.41,2446.73,3722603.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240902,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-02,2465.18,2518.23,2438.18,2459.35,788184.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240903,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-03,2405.78,2417.05,2330.13,2394.31,143580.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240904,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-04,2386.09,2437.05,2373.97,2405.95,4398665.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240905,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-05,2396.69,2448.34,2382.27,2392.05,203520.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240910,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-10,2370.58,2438.28,2313.97,2367.76,4471341.0,NSE Feed,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240925,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-25,2378.42,2399.95,2329.79,2389.48,2414935.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20240927,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-27,2448.0,2478.91,2389.74,2426.44,1740377.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20241009,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-10-09,2452.08,2506.11,2445.87,2460.33,2864396.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20241010,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-10-10,2452.4,2439.28,2379.85,2429.36,1784864.0,Bloomberg,False,0,INR,NSE,True,Green
PRC-RELIANCE-20241017,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-10-17,2408.01,2468.51,2381.17,2418.09,4930825.0,NSE Feed,False,0,INR,NSE,True,Green
